level_code,activity_id,module_id,day_number,activity_type,prompt_text,subtopic_id,resource_urls
EM6,em6_m2_d18_curr1_paper,em6_m2,18,curriculum_block,All Online,em6_m2_s8,"{""block_position"": ""curriculum_30_first"", ""format"": ""paper""}"
EM6,em6_m2_d18_mt,em6_m2,18,math_talk,Math Talk Day 17,em6_m2_s8,{}
EM6,em6_m2_d18_gm,em6_m2,18,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
EM6,em6_m2_d18_curr2_slides,em6_m2,18,curriculum_block,Math Move-Game,em6_m2_s8,"{""block_position"": ""curriculum_30_second"", ""format"": ""slides""}"
EM6,em6_m2_d18_curr2_paper,em6_m2,18,curriculum_block,Pico Fermi Bagel,em6_m2_s8,"{""block_position"": ""curriculum_30_second"", ""format"": ""paper""}"
EM6,em6_m2_d18_curr3_slides,em6_m2,18,curriculum_block,Buffer Time,em6_m2_s8,"{""block_position"": ""special_case_50"", ""format"": ""slides""}"
EM6,em6_m2_d18_curr3_paper,em6_m2,18,curriculum_block,Review/Reflection in Notebook,em6_m2_s8,"{""block_position"": ""special_case_50"", ""format"": ""paper""}"
EM6,em6_m2_d19_welcome,em6_m2,19,welcome,Emoji Check In,,{}
EM6,em6_m2_d19_wod,em6_m2,19,word_of_day,CCD Review all words,,{}
EM6,em6_m2_d19_nt,em6_m2,19,number_talk,Number Talk #10,,{}
EM6,em6_m2_d19_curr1_slides,em6_m2,19,curriculum_block,Kahoot Mean Median and Mode; Race of Felines Slide Deck; Race of Felines Nearpod; Race of Felines Nearpod PDF,,"{""block_position"": ""curriculum_30_first"", ""format"": ""slides""}"
EM6,em6_m2_d19_curr1_paper,em6_m2,19,curriculum_block,Kahoot ratio proportions; Paper - Race of Felines,,"{""block_position"": ""curriculum_30_first"", ""format"": ""paper""}"
EM6,em6_m2_d19_mt,em6_m2,19,math_talk,Data Talk #1: Sleuthing Slang,,{}
EM6,em6_m2_d19_gm,em6_m2,19,growth_mindset,Growth Mindset / College Readiness / AI Lessons,,{}
EM6,em6_m2_d19_curr2_paper,em6_m2,19,curriculum_block,Elevate End of Summer Certificate & Celebration,,"{""block_position"": ""curriculum_30_second"", ""format"": ""paper""}"
EM6,em6_m2_d19_rubric,em6_m2,19,rubric,Race of Felines Rubric,,{}
EM6,em6_m2_d18_post,em6_m2,18,post_assessment,Module 2 Post Assessments (All Online),,"{""format"": ""online""}"
EM7,em7_m1_d1_welcome,em7_m1,1,welcome,Which One Doesn't Belong? Day 1,,{}
EM7,em7_m1_d1_wod,em7_m1,1,word_of_day,Introduce CCD,,{}
EM7,em7_m1_d1_dt,em7_m1,1,dot_talk,Dot Talk #1,,{}
EM7,em7_m1_d1_curr1_main,em7_m1,1,curriculum_block,Math Norms / Expectations for the 19 days,,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d1_mt,em7_m1,1,math_talk,Number Talk #1,,{}
EM7,em7_m1_d1_gm,em7_m1,1,growth_mindset,Lesson 1,,{}
EM7,em7_m1_d1_curr2_main,em7_m1,1,curriculum_block,Set up Notebook,,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d1_curr3_main,em7_m1,1,curriculum_block,Pre-Assessments,,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d1_curr3_paper,em7_m1,1,curriculum_block,All Online,,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d2_welcome,em7_m1,2,welcome,Which One Doesn't Belong? Day 2,,{}
EM7,em7_m1_d2_wod,em7_m1,2,word_of_day,Rate,em7_m1_s1,{}
EM7,em7_m1_d2_dt,em7_m1,2,dot_talk,Dot Talk #2,,{}
EM7,em7_m1_d2_curr1_main,em7_m1,2,curriculum_block,Launch,em7_m1_s1,"{""block_position"": ""curriculum_30_first""}"
EM7,em7_m1_d2_curr1_paper,em7_m1,2,curriculum_block,Rate Concentrate,em7_m1_s1,"{""block_position"": ""curriculum_30_first"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d2_mt,em7_m1,2,math_talk,Number Talk #2,em7_m1_s1,{}
EM7,em7_m1_d2_gm,em7_m1,2,growth_mindset,Lesson 2,,{}
EM7,em7_m1_d2_curr2_main,em7_m1,2,curriculum_block,Task & Reengagement,em7_m1_s1,"{""block_position"": ""curriculum_30_second""}"
EM7,em7_m1_d2_curr2_paper,em7_m1,2,curriculum_block,Rate Concentrate,em7_m1_s1,"{""block_position"": ""curriculum_30_second"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d2_curr3_main,em7_m1,2,curriculum_block,Launch & Task,em7_m1_s1,"{""block_position"": ""special_case_50""}"
EM7,em7_m1_d2_curr3_paper,em7_m1,2,curriculum_block,"Drip, Drip, Drip",em7_m1_s1,"{""block_position"": ""special_case_50"", ""format"": ""task_or_paper""}"
EM7,em7_m1_d3_welcome,em7_m1,3,welcome,Which One Doesn't Belong? Day 3,,{}
