level_code,template_id,grade_band,order,activity,duration_min,duration_min_min,duration_min_max,category
EM9_ALG1,g9_alg1_block,9-Algebra1,7,Break,15,,,break
EM9_ALG1,g9_alg1_block,9-Algebra1,8,Performance Task Summarize and/or FAL (continue),50,,,performance_task
EM9_ALG1,g9_alg1_block,9-Algebra1,9,Closing,10,,,closing
EM9_GEO,g9_geo_block,9-Geometry,1,Welcome & Check-in/Norms,15,,,opening
EM9_GEO,g9_geo_block,9-Geometry,2,Math Talk,15,,,math_talk
EM9_GEO,g9_geo_block,9-Geometry,3,Performance Task Launch and/or FAL,30,,,performance_task
EM9_GEO,g9_geo_block,9-Geometry,4,Break,15,,,break
EM9_GEO,g9_geo_block,9-Geometry,5,Growth Mindset / SEL / College Readiness,30,,,enrichment
EM9_GEO,g9_geo_block,9-Geometry,6,Performance Task Explore and/or FAL (continue),30,,,performance_task
EM9_GEO,g9_geo_block,9-Geometry,7,Break,15,,,break
EM9_GEO,g9_geo_block,9-Geometry,8,Performance Task Summarize and/or FAL (continue),50,,,performance_task
EM9_GEO,g9_geo_block,9-Geometry,9,Closing,10,,,closing
